,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
1,f1,=~,marketing,,1,0,NA,NA,1,1
2,f1,=~,innovation,,-0.085,0.120,-0.707,0.480,-0.320,0.150
3,f2,=~,collaborative,,1.000,0.000,NA,NA,1.000,1.000
4,f2,=~,marketing,,6.353,11.473,0.554,0.580,-16.134,28.841
5,f3,=~,augmented,,1.000,0.000,NA,NA,1.000,1.000
6,f3,=~,reality,,1.627,0.848,1.919,0.055,-0.035,3.289
7,f4,=~,virtual,,1.000,0.000,NA,NA,1.000,1.000
8,f4,=~,reality,,0.490,0.529,0.924,0.355,-0.548,1.527
9,f2,~,f1,c,-0.081,0.078,-1.039,0.299,-0.234,0.072
10,f3,~,f1,a,-0.308,0.420,-0.732,0.464,-1.131,0.516
11,f4,~,f3,b,-1.159,0.531,-2.182,0.029,-2.200,-0.118
12,f2,~,f4,d,-0.010,0.016,-0.597,0.551,-0.041,0.022
13,marketing,~~,marketing,,0.949,0.508,1.870,0.061,-0.046,1.944
14,innovation,~~,innovation,,0.084,0.011,7.858,0.000,0.063,0.105
15,collaborative,~~,collaborative,,0.059,0.014,4.192,0.000,0.031,0.086
16,augmented,~~,augmented,,0.171,0.148,1.156,0.248,-0.119,0.460
17,reality,~~,reality,,0.589,0.665,0.886,0.375,-0.714,1.892
18,virtual,~~,virtual,,0.863,2.773,0.311,0.756,-4.572,6.299
19,f1,~~,f1,,0.794,1.868,0.425,0.671,-2.868,4.456
20,f2,~~,f2,,0.003,0.008,0.438,0.661,-0.012,0.019
21,f3,~~,f3,,0.299,0.153,1.957,0.050,0.000,0.598
22,f4,~~,f4,,2.467,2.743,0.899,0.368,-2.910,7.844
23,direct,:=,c,direct,-0.081,0.078,-1.039,0.299,-0.234,0.072
24,indirect,:=,a*b*d,indirect,-0.003,0.009,-0.378,0.705,-0.021,0.014
25,total,:=,c+(a*b*d),total,-0.084,0.084,-1.001,0.317,-0.250,0.081
