"","marketing","innovation","augmented","reality","virtual"
"1",1,0,0,0,1
"2",2,0,0,0,0
"3",2,0,0,1,1
"4",1,0,0,0,1
"5",0,0,0,0,0
"6",4,0,0,0,4
"7",0,0,0,0,1
"8",0,0,0,0,1
"9",2,0,0,0,0
"10",1,0,0,2,1
"11",1,0,0,0,6
"12",0,0,0,0,1
"13",0,0,0,0,0
"14",1,0,0,0,0
"15",1,0,1,1,0
"16",1,0,1,1,0
"17",1,0,0,0,1
"18",1,0,0,1,2
"19",0,0,0,0,0
"20",1,1,2,2,0
"21",1,0,1,1,1
"22",1,0,1,1,0
"23",1,0,0,1,1
"24",1,0,0,0,0
"25",2,0,0,0,5
"26",1,0,0,1,3
"27",2,0,0,1,1
"28",2,0,3,4,0
"29",1,0,0,1,3
"30",1,0,2,2,0
"31",1,0,0,0,1
"32",1,0,1,1,0
"33",0,0,0,1,6
"34",1,1,1,1,0
"35",1,0,0,0,1
"36",1,0,1,1,0
"37",1,0,0,0,0
"38",1,0,0,0,2
"39",3,0,1,1,0
"40",1,1,0,1,3
"41",3,0,1,2,1
"42",1,0,1,1,0
"43",2,0,0,1,1
"44",2,0,0,0,1
"45",0,0,0,0,1
"46",1,0,1,2,3
"47",1,0,0,1,3
"48",0,0,0,0,0
"49",7,0,0,0,1
"50",0,0,0,0,0
"51",1,0,0,0,2
"52",1,0,0,0,1
"53",0,0,0,0,4
"54",2,0,0,0,1
"55",6,0,0,1,1
"56",1,0,0,0,2
"57",1,0,0,0,3
"58",0,0,1,0,0
"59",1,0,0,0,0
"60",2,0,1,2,3
"61",1,0,0,0,0
"62",1,0,0,4,7
"63",1,0,1,1,1
"64",1,0,0,1,1
"65",0,0,0,0,0
"66",1,0,0,0,7
"67",5,0,0,0,2
"68",1,0,2,2,0
"69",2,0,0,0,0
"70",3,0,0,1,3
"71",1,2,0,1,2
"72",0,0,1,1,0
"73",1,0,0,1,2
"74",1,0,0,0,0
"75",1,0,0,1,3
"76",2,0,0,1,1
"77",0,0,0,0,5
"78",1,0,0,0,1
"79",1,0,0,1,5
"80",1,0,0,0,2
"81",1,0,0,0,0
"82",0,0,0,0,2
"83",0,0,0,0,1
"84",1,0,0,0,0
"85",0,0,1,1,0
"86",1,0,0,0,3
"87",1,0,0,0,1
"88",2,0,0,1,1
"89",1,0,0,0,2
"90",0,0,0,0,0
"91",1,0,0,1,2
"92",1,1,1,1,0
"93",0,0,0,1,1
"94",1,0,0,1,1
"95",1,0,0,0,1
"96",1,0,0,1,1
"97",1,0,0,1,2
"98",0,0,0,0,0
"99",0,0,0,0,0
"100",2,0,0,2,3
"101",1,0,0,0,2
"102",1,0,0,0,1
"103",0,0,0,0,0
"104",1,0,0,1,5
"105",0,0,3,3,0
"106",3,0,1,2,1
"107",1,0,2,2,0
"108",0,0,3,4,4
"109",1,0,2,2,0
"110",0,0,3,4,0
"111",0,0,2,2,0
"112",1,0,2,4,0
"113",1,0,2,2,0
"114",1,0,1,1,0
"115",1,0,2,2,0
"116",0,0,1,2,1
"117",0,0,2,3,0
"118",0,0,1,1,0
"119",1,1,1,1,0
"120",0,0,2,2,0
"121",0,0,0,9,9
"122",0,0,0,7,7
"123",3,0,1,1,0
"124",1,0,1,1,1
"125",0,1,1,2,1
"126",0,1,1,1,0
"127",0,2,1,1,1
"128",1,0,1,1,1
"129",0,0,1,2,1
"130",0,0,1,1,0
"131",0,0,1,1,0
"132",2,0,1,1,0
"133",0,0,1,1,0
"134",6,0,0,1,1
"135",0,0,1,1,0
"136",3,0,0,1,3
"137",2,0,0,1,1
"138",0,0,0,1,2
"139",0,0,0,2,2
"140",0,0,1,1,0
"141",1,0,0,1,1
"142",0,0,0,1,2
"143",0,0,2,1,1
"144",0,0,0,1,1
"145",1,0,0,1,5
"146",1,0,0,1,2
"147",0,0,0,1,1
"148",1,0,0,1,1
"149",0,0,0,1,1
"150",0,0,0,2,1
"151",0,0,1,1,1
"152",0,0,0,1,2
"153",1,0,0,1,1
"154",1,0,0,1,1
"155",0,0,0,2,3
"156",0,0,0,1,1
"157",1,0,0,1,1
"158",1,0,0,1,1
"159",0,0,0,2,5
"160",0,0,2,2,0
"161",0,0,0,1,6
"162",0,0,1,1,8
"163",0,0,0,7,7
"164",1,0,0,0,11
"165",0,0,0,1,1
"166",0,1,0,1,1
"167",0,0,0,1,1
"168",0,0,0,1,1
