"","mi","arvr","ist","apro","cm"
"collaborative",0,0,0,0,0.00381377129505448
"marketing",0.990422773038487,0,0,0,0.998725009372159
"marketing.1",0,0,0,0,0
"innovation",0.0289595547688736,0,0,0,0
"augmented",0,0.675858762422229,0,0,0
"reality",0,0.745864833492011,0,0,0
"virtual",0,0.00348484962114662,0,0,0
"reality.1",0,0,0,0,0
"information",0,0,0.0582948684525327,0,0
"systems",0,0,0.2378483469643,0,0
"technology",0,0,0.608297298006643,0,0
"neural",0,0,0.0076958758563424,0,0
"networks",0,0,0.000232226108663422,0,0
"database",0,0,0.0372269429566362,0,0
"databases",0,0,0.0459462751514612,0,0
"algorithms",0,0,0.0460201255079534,0,0
"methods",0,0,0,0.0826451392480067,0
"models",0,0,0,0.709032726705417,0
"decision",0,0,0,0.2673255726681,0
"strategy",0,0,0,0.00346866235046813,0
"modelling",0,0,0,0.00618036264098359,0
